product_id,shop_id,category_id,name,SKU,upload_date,price,stock,sold_quantities,desciption,image,rating,rate_nums
10011,22,2002,"MSI Cyborg 15 Gaming Laptop: Intel Core i5-12450H GeForce RTX 2050| 15.6"" FHD| 144Hz| 16GB DDR5| 512GB NVMe SSD| Type-C USB 3.2 Gen 1| Cooler Boost 5| Win 11 Home: Black A12UCX-276US",MS234UCX,5/5/2020,686.72,50,14,,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81qv4biJ5dL._AC_SL1500_.jpg,4.2,10
10012,22,2002,"MSI Stealth 17 Studio 17.3"" QHD 240Hz Gaming Laptop: 13th Gen Intel Core i9| RTX 4080| 32GB DDR5| 1TB NVMe SSD| Thunderbolt 4| USB-Type C| Cooler Boost Trinity+| Win11 Home: Core Black A13VH-053US",MS234UCC,12/2/2019,2799,990,1002,LATEST GEN - 13th Gen Intel Core i9 Processor: Peak performance for elite gaming and content creation. The latest version of performance hybrid architecture will push your gameplay beyond performance| giving you the power to do it all..Bluetooth : BT 5.2| AC Power Adaptor : 240 W.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/714fL2+tNuL._AC_SL1500_.jpg,4.2,702
10013,72,2002,ASUS ROG Strix G16 (2023) Gaming Laptop| 16O 16:10 FHD 165Hz| GeForce RTX 4060| Intel Core i7-13650HX| 16GB DDR5| 512GB PCIe SSD| Wi-Fi 6E| Windows 11| G614JV-AS73| Eclipse Gray,AS23LUXC,4/8/2020,1281,1872,750,POWER UP YOUR PLAY - Draw more frames and win more games with Windows 11| a 13th Gen Intel Core i7-13650HX processor| and an NVIDIA GeForce RTX 4060 Laptop GPU at 140W Max TGP.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71jTFnk7XiL._AC_SL1500_.jpg,4.4,525
10014,72,2001,ASUS ROG Cetra True Wireless Gaming Earbuds| Low-Latency Bluetooth Earbuds| Active Noise Cancelation| 27-Hour Battery Life| IPX4 Water Resistance| Headphone with Wireless Charging|Black,AS23LULT,10/6/2022,82.99,775,651,If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears| you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ear.Specific uses for product : Personal|Business|Gaming,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61NR-5HE6UL._AC_SL1500_.jpg,4.1,456
10015,72,2002,ASUS ROG Spatha X Wireless Gaming Mouse (Magnetic Charging Stand| 12 Programmable Buttons| 19|000 DPI| Push-fit Hot Swap Switch Sockets| ROG Micro Switches&Paracord and Aura RGB lighting)|Black,AS23LUL9,6/28/2020,111.99,720,674,Dual-mode Connectivity - ROG Spatha X Wireless Gaming Mouse allows you play wirelessly with 2.4 GHzRF| or with a wired USB-C cable connection,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81FDMl-cF-L._AC_SL1500_.jpg,4.3,472
10016,72,2002,ASUS ROG Balteus Qi Vertical Gaming Mouse Pad with Wireless Qi Charging Zone| Hard Micro-Textured Gaming Surface| USB Pass-Through| Aura Sync RGB Lighting and Non-Slip Base (12.6O X 14.6O),ASM3LUL9,8/9/2022,79.99,852,637,12.6O x 14.6O vertical gaming mousepad,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51vp9MDD5CL._AC_SL1129_.jpg,4.5,446
10017,72,2002,ASUS ROG Throne Qi Gaming Headset Stand - Wireless Charging | 2 USB Ports & Aux Input | Arc Design for Stable & Secure Storage | Built-In DAC & Amplifier for Immersive Audio | Aura Sync RGB Lighting,ASMM3LL9,3/13/2021,139.99,600,467,Wireless Qi charging delivers up to 10W of fast charging power for your phone or other compatible device,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71bxa7j5xIL._AC_SL1500_.jpg,4.5,327
10018,72,2002,ASUS ROG Strix Flare II Animate 100% RGB Gaming Keyboard - Hot-swappable| ROG NX Red Linear Switches| Customizable LED Display| PBT Keycaps| Acoustic Dampening Foam| Media Controls| Wrist Rest,ASZZ123L4,9/18/2020,169.99,455,137,AniMe Matrix LED display: Personalize and express yourself in a unique way with customizable images and animations,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61BCodO7-PL._AC_SL1500_.jpg,4.6,96
10019,72,2002,"ASUS TUF Dash 15 (2022) Gaming Laptop| 15.6"" 144Hz FHD Display| Intel Core i7-12650H| GeForce RTX 3060| 16GB DDR5| 512GB SSD| Thunderbolt 4| Windows 11 Home| Off Black| FX517ZM-AS73",ASM223L4,7/29/2021,979.99,2000,1499,SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 3060 6GB GDDR6 at 1050W with Dynamic Boost| with cutting-edge AI features like NVIDIA DLSS and Ray-Tracing.Voltage:20.0 volts.Connectivity,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/619dIEKft6L._AC_SL1500_.jpg,4.5,1050
10020,72,2002,ASUS Zenbook 15 Laptop| 15.6O FHD Display| AMD Ryzen 5 7535U CPU| AMD Radeon Graphics| 16GB RAM| 512GB SSD| Windows 11 Home| Ponder Blue| UM3504DA-AS54,ASZ984L4,1/5/2019,699.99,322,125,"Battery.cell composition : lithium ion
Display.type : LED
Wireless communication technology : Bluetooth
Specific uses for product : Business
Display.resolution maximum : 1920x1280 pixels
Connectivity technology : USB
Graphics ram.type : ddr5 sdram",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71xG5AOiuoL._AC_SL1500_.jpg,4.2,88
10021,72,2002,"ASUS Chromebook Vibe CX55 Flip| Cloud Gaming Laptop| 15.6"" Full HD 144 Hz Touch Display| Intel® Core™ i5-1135G7 Processor| 512GB SSD| 16GB RAM| ChromeOS| Mineral Gray| CX5501FEA-AS562T",ASC984L4,9/1/2020,699.99,113,24,"Developed and optimized for cloud gaming powered
by an Intel Core i5-1135G7 processor 2.4 GHz (8M cache| up to 4.2 GHz| 4 cores)| 512GB M.2 NVMe PCIe 3.0 SSD and 16GB RAM| Wi-Fi 6+ Bluetooth 5.0R.",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61+1SWHs9uL._AC_SL1500_.jpg,4.1,17
10022,72,2002,ASUS ROG Azoth 75% Wireless DIY Custom Gaming Keyboard| OLED Display| Gasket-Mount| Three-Layer Dampening| Hot-Swappable Pre-lubed NX Brown Switches & Keyboard Stabilizers| ABS Keycaps| RGB-Black,ASCK94L4,5/14/2020,209.99,25,73,Unique gasket mount design: Silicone gasket mount with three layers of dampening foams combine to provide an unrivaled typing experience,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81ykzmz6KZL._AC_SL1500_.jpg,4.5,52
10023,72,2002,ASUS ROG Hone Ace Aim Lab Edition Gaming Mouse Pad| 508 X 420 x 3 mm| Large Size| Soft| Hybrid Cloth Material| Non-Slip Rubber Base| Esports & FPS Gaming| Black,AGZ984L4,8/24/2021,24.99,58,56,Synergistic Aim Lab accuracy training: Measurement markings on the mouse pad work in tandem with Aim Lab software to help players train aiming accuracy for FPS gaming,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81MpNg1aLLL._AC_SL1500_.jpg,4.5,40
10024,72,2002,ASUS TUF Gaming P1 Portable Gaming Mouse pad (Nano-Coated| Water-Resistant Surface| Durable Anti-fray Stitching| and Non-Slip Rubber Base) - Demon Slayer| NEZUKO,ATGZ9844,3/4/2021,17.49,31,20,Demon Slayer & ASUS teams up for an exciting new gaming collection,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81ZvCwqQ+0L._AC_SL1500_.jpg,4.5,14
10025,72,2002,ASUS Gaming Headset ROG DELTA | Headset with Mic and Hi-Res ESS Quad-DAC | Compatible Gaming Headphones for PC| Mac| PS4| Xbox One | Aura Sync RGB Lighting|Black,ASMZ9844,2/14/2020,127.08,987,1233,Rich gaming Audio with a 127dB Signal to noise ratio and 50 millimeter ASUS essence drivers with airtight chamber design provide detail-rich Audio perfect for FPS games,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81ehj4Fhw9L._AC_SL1500_.jpg,4.4,864
10026,85,2003,Lutron Caseta Single-Pole/3-Way Smart Lighting Lamp Dimmer and Remote Kit | P-PKG1P-WH | White,LTLZ9244,8/4/2020,49.95,3512,2716,KIT INCLUDES: (1) Caseta Plug-In Lamp Dimmer and (1) Pico remote,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71tOl8m0ydL._SL1500_.jpg,4.8,1902
10027,85,2003,Lutron Caséta Weatherproof+ Outdoor Smart Plug On/Off Switch | Works with Alexa| Google Assistant| Ring| Apple HomeKit (Smart hub Required) | for Landscape and String Lighting | PD-15OUT-BL | Black,LTLZ9234,6/28/2021,79.95,2671,1053,MEET YOUR SMART YARD: Experience the delight of returning to a home alive with light; perfect for patio string lights| landscape lights| holiday lights (up to 1|000 ft!)| pond or fountain pumps| and more,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51dv+GhOpSL._AC_SL1000_.jpg,4.8,738
10028,85,2003,Lutron Caseta Smart Lighting Switch for All Bulb Types or Fans | Neutral Wire Required | PD-6ANS-WH | White,LTS9234,10/29/2021,59.95,8762,2708,EASY INSTALL: Easily replaces existing switch and installs in as little as 15 minutes; NEUTRAL WIRE REQUIRED,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61B4sbsw3BL._AC_SL1500_.jpg,4.8,1896
10029,85,2003,Lutron Caseta Single-Pole/3-Way Smart Lighting Lamp Dimmer and Remote Kit | P-PKG1P-WH | White,LTS9235,4/13/2020,49.95,5222,2716,KIT INCLUDES: (1) Caseta Plug-In Lamp Dimmer and (1) Pico remote,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71tOl8m0ydL._SL1500_.jpg,4.8,1902
10030,85,2003,Lutron Ariadni/Toggler LED+ Dimmer | 150-Watt| Single-Pole/3-Way | AYCL-153P-WH | White,LTLD235,1/31/2019,23.14,10125,5888,"Tested on 1|000s of bulbs and dozens of brands for flicker-free dimming. For list of recommended bulbs view ""Compatibility Chart""",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61VxWYqWk+L._AC_SL1000_.jpg,4.6,4122
10031,90,2003,"TCL 50"" Class 5-Series 4K UHD QLED Dolby Vision & Atmos| VRR| AMD FreeSync| Smart Roku TV - 50S555 (2022 Model) |Black",TCL56234,8/1/2020,799.99,2345,721,Superior 4K Ultra HD: Picture clarity combined with the contrast| color| and detail of Dolby Vision HDR (High Dynamic Range) for the most lifelike picture..Output Power : 10W + 10W. Headphone Jack : 1. RF Antenna Input: 1.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81-LUpjsiTL._AC_SL1500_.jpg,4.3,505
10032,90,2003,TCL 32-Inch Class S3 1080p LED Smart TV with Google TV (32S350G| 2023 Model)| Google Assistant Built-in with Voice Remote| Compatible with Alexa| Streaming FHD Television|Black,TCL5D234,9/27/2019,138,987,296,1080P Full HD Resolution: experience your favorite movies and TV shows in stunning high-definition picture quality for enhanced clarity and detail.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81ylxtsKamL._AC_SL1500_.jpg,4.2,208
10033,21,2003,SAMSUNG 32-Inch M50C Series FHD Smart Computer Monitor with Streaming TV| Gaming Hub| Remote PC Access| Multiple Ports| Mobile Connectivity| Built-in IoT Hub| LS32CM502ENXGO| Black,SS85UR44,12/6/2019,219.99,212,977,SMART TV APPS: Native streaming apps make it easy to watch your shows without a PC and switch between apps with a mouse; Adaptive Picture automatically optimizes screen brightness and Adaptive Sound adjusts audio to the ideal the level,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61tIoFn0fjL._AC_SL1000_.jpg,4.3,684
10034,21,2003,SAMSUNG Jet 60 Flex Cordless Stick Vacuum Cleaner| Lightweight| Portable w/ Removable Battery| Powerful Household Cleaning for Hardwood Floors| Tile| Carpets| Area Rugs| VS15A6031R7| Rose Gold,SS85UJ44,6/7/2022,139.99,2762,1815,CLEANS ALL FLOOR SURFACES: Jet 60 Flex stick vacuum cleans hardwood| tile| and rugs with intense suction power up to 150 AW; The Jet Cyclone technology optimizes airflow and prevents clogs| while its HEPA air filtration instantly traps dust particles.Runtime: 40.0 minutes,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61q12+fikqL._AC_SL1500_.jpg,4.2,1271
10035,21,2003,SAMSUNG Jet Stick Cordless Vacuum Clean Station| Dust Disposal with Hygienic Cleaning Filter| VCA-SAE903/AA| 2021| Silver,SS88UJ44,5/18/2020,139.99,856,84,AUTO EMPTY DUSTBIN: Empty the dust from your Jet Stick cordless vacuum by simply placing the dustbin on top of the Clean Station for an automatic emptying process,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71muH9qYF8L._AC_SL1500_.jpg,4.3,59
10036,21,2003,SAMSUNG Clean Station Dust Bags| Pack of 5 Replacement Bags for Jet Stick Cordless Vacuum Cleaners| Hygienic Floor Cleaning Solution| VCA-ADB90/XAA| Grey,SS88UJ22,5/25/2020,37.49,288,285,DUST BAGS: Replacement Dust Bags for use in the Samsung Clean Station (sold separately)| which is an accessory for Samsung Jet Stick Cordless Vacuum Cleaners,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61mSgx-jAoS._AC_SL1500_.jpg,4.6,200
10037,21,2003,SAMSUNG Bespoke Jet Spray Spinning Sweeper Brush Vacuum Mopping Attachment| Silver,SSLSUJ22,1/19/2021,149.99,85,34,Spinning Sweeper Brush is an attachment tool to be used with the Samsung BESPOKE Jet cordless stick vacuum,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71eNDlgMS4L._AC_SL1500_.jpg,3.9,24
10038,21,2003,SAMSUNG 17.3 Cu Ft Smart Kimchi & Specialty 4-Door French Door Refrigerator w/ Freezer| Precise Cooling| Large Capacity| RQ48T9432T1/AA| Platinum Bronze,SSLSRJ22,2/19/2019,3234,25,6,"SUPER PRECISE COOLING: Maintain specific temperatures within plus/minus 1 degree F to create the optimal environment for fermenting kimchi and keeping fruits and vegetables fresher| longer
LOCK IN FRESHNESS: Refrigerator’s stainless steel metal panels cool food faster and help maintain consistent temperatures for longer lasting freshness
MODERN DESIGN W/ LARGE CAPACITY: Sleek design with clean lines blends beautifully into your kitchen; Stay organized with the spacious 17.3 cubic feet interior| which provides plenty of room to store your favorite specialty items and everyday groceries",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61F1hBoP9BL._AC_SL1500_.jpg,3.8,5
10039,21,2003,SAMSUNG 34-Inch Wine Cooler Refrigerator| 51 Bottle Capacity| Freestanding| Under Cabinet Fridge w/ Dual Temperature Zones| LED Lighting| Fingerprint Resistant| RW51TS338SR/AA| Stainless Steel,SSLSRK22,4/9/2022,1438,32,16,"51-BOTTLE CAPACITY: Grab that extra bottle of wine| we’ve got you; The Samsung Wine Cooler fridge has a large| spacious interior that holds up to 51 bottles of all your favorite wine| across 5 shelves
DUAL TEMP ZONES: Store all your favorite red| white and sparkling wines at their optimal temperature (45-50 degrees F and 50-64 degrees F)
PROTECT YOUR WINE’S FLAVOR: Triple-paned| UV resistant glass helps protect and preserve your wine's flavor by blocking harmful ultraviolet rays",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71nSg3+J0nL._AC_SL1500_.jpg,3.7,12
10040,21,2003,SAMSUNG BESPOKE Jet Cordless Stick Vacuum Cleaner w/ Clean Station| Powerful Multi-Surface Floor Cleaning for Carpet| Hardwood| Tile| 5-Layer Filter| Lightweight| VS20A9580VB/AA| 2023| Midnight Blue,SSLSSK22,10/9/2020,599.98,422,138,"ADVANCED CLEANING PERFORMANCE: Samsung's HexaJet MotorTM technology provides our strongest suction with up to 210AW of power for superior cordless cleaning on carpets and hard floors| while still being lightweight for max maneuverability
CLEAN STATION: At the press of a button| Clean Station empties the Jet Stick dustbin| trapping 99.99%* of dust and debris for a beyond-the-floor clean",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61DfkwdGwsL._AC_SL1500_.jpg,4.3,97
10041,21,2003,SAMSUNG BESPOKE Jet AI Cordless Stick Vacuum Cleaner w/All-In-One Clean Station| 280AW Suction Power| Longest Battery Life| Multi Surface Floor Brushroll| Lightweight| VS28C9760UG| 2023| Satin Greige,SSLSSK21,6/20/2019,849.99,102,26,"MOST POWERFUL| PREMIUM CORDLESS STICK VACUUM W/ AUTO EMPTY*: Delivers up to 280AW of suction** with our HexaJet 2.0 motor; Combined with a lightweight design| it delivers a faster| more effective clean
LONGEST BATTERY LIFE OF ANY STICK VACUUM: Samsung has revolutionized battery technology to provide thorough cleaning for up to 100 minutes** using one battery",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61LNP1tbQFL._AC_SL1500_.jpg,4.4,19
10042,21,2003,SAMSUNG 75-Inch Class QLED 4K The Frame LS03B Series| Quantum HDR| Art Mode| Anti-Reflection Matte Display| Slim Fit Wall Mount Included| Smart TV w/ Alexa Built-In (QN75LS03BAFXZA| Latest Model),SSLCCK21,2/20/2022,297.99,2566,1329,"HANDPICKED BY AMAZON: They did the research so you don’t have to..Audio Sound Output (RMS) : 40W. Bluetooth Version : Bluetooth 5.2
ART MODE: Enjoy your personal art exhibit when you’re not watching TV; Just switch on Art Mode; When the TV’s off| The Frame becomes a display of your art collection| thanks to the built-in motion sensor; Show off your own photos and art or from Samsung’s Art Store",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71WpTVdu57L._AC_SL1080_.jpg,4.2,931
10043,21,2003,SAMSUNG Jet Bot+ Robot Vacuum Cleaner w/Clean Station| Automatic Emptying| Precision Cleaning| 5-Layer Filter| Intelligent Power Control for Hardwood Floors| Carpets| Area Rugs| VR30T85513W/AA| White,SSLCCK01,9/5/2019,499,5891,926,"PRECISE NAVIGATION: LiDAR sensors create accurate room maps for the Jet Bot +to navigate so no worrying about your robotic vacuum going to places it shouldn’t; Mapping can also be controlled via the Samsung SmartThings App
INTELLIGENT POWER CONTROL: Jet Bot+ identifies the surface type and amount of dust and automatically adjusts suction so you get a thorough clean no matter the floor type",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/518rTA76s3S._AC_SL1500_.jpg,4.2,649
10044,91,2004,NATIONAL GEOGRAPHIC Kids Screen Printing Kit - Arts and Crafts Silk Screen Printing Kit with Fabric Paint| Frame| Stencils & Squeegee Plus Drawstring Bag & More| Screen Print| Silkscreening Kit,NG96SL70,9/24/2020,18.49,801,73,EVERYTHING KIDS NEED - This silk screen printing kit includes a reusable wooden mold| fabric and puffy paint| stencils| paintbrush| silk screen squeegee and tape| as well as a drawstring bag kids can add their designs to!,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91o+ZWj1REL._AC_SL1500_.jpg,4.6,52
10045,91,2004,NATIONAL GEOGRAPHIC Paint Marbling Arts & Crafts Kit - Water Marbling Paint Art Kit for Kids| Create 12 Sheets of Marble Art with 6 Paints| Marbling Paint Kit| Kids Art Projects,NG96SL7A,1/26/2021,13.59,120,55,CREATE MESMERIZING MARBLE ART - With this exciting arts & crafts kit| kids can easily make beautiful marbled paint designs| then transfer to the included paper sheets for framing and displaying! Their works of art also make great| personalized gifts!,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91aWUEodetL._AC_SL1500_.jpg,4.3,39
10046,91,2004,NATIONAL GEOGRAPHIC Modeling Clay Arts & Crafts Kit - Air Dry Clay for Kids Craft Kit with 2 lb. Clay to Make 9 Art Projects| Clay Christmas Ornament Craft Kit| DIY for Kids 8-12,NGSTSL7A,4/5/2022,10.4,354,30,CREATE MULTIPLE PROJECTS - With this air-dry pottery kit| kids can make multiple nature-themed arts & crafts projects including 5 holiday ornaments and 4 leaf-shaped dishes! The air-dry clay is easy to use| with step-by-step instructions included.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81-ntownfTL._AC_SL1500_.jpg,4.6,21
10047,91,2004,NATIONAL GEOGRAPHIC Stunning Chemistry Set - Mega Science Kit with 45 Easy Experiments- Make a Volcano and Launch a Rocket| STEM Projects for Kids Ages 8-12| Science Toys,NG25SL7A,8/26/2020,27.99,4562,9217,"A SCIENCE KIT THAT INSPIRES - Your kids will have hours of fun as they explore the fizzy and bubbly reactions they create| just like a real scientist in a lab!
A TOTAL OF 45 EXPERIMENTS - Build and erupt a volcano| create a geyser| launch a rocket| and cause some awesome chemical reactions! Each experiment is easy to conduct and a whole lot of fun!",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91+EDMdD8hL._AC_SL1500_.jpg,4.7,6452
10048,91,2004,NATIONAL GEOGRAPHIC Earth Science Kit - Over 15 Science Experiments for Kids| Crystal Growing Kit| Volcano Science Kit| Dig Kits & Gemstones| STEM Project Toy for Boys and Girls,NG25TR7A,1/4/2019,22.49,5687,17486,"MASSIVE SCIENCE KIT FOR CURIOUS KIDS - More than 15 experiment activities including dueling water tornadoes| building an erupting volcano| growing a crystal| two geologic dig kits| and more
ENOUGH TO GO AROUND - This science lab allows kids to conduct multiple experiments and is great to share with family| friends| or classmates; you will enjoy the magic of discovery together",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/91AQBSotB2L._AC_SL1500_.jpg,4.7,12241
10049,115,2005,Coverking NatureGuard Premium Universal Fit Car Cover from Moda Weather-Resistant for Sedan| Coupe or Convertibile| Indoor/Outdoor Use: Reflective Outside Layer| Small,HGT34Y6,5/1/2019,99.99,325,258,"Weather-resistant fabric keeps your car dry and safe from rain| snow| dirt| and dust
Reflective layer protects your exterior and interior from sun damage
Soft inner lining protects the finish of your car
Great for outdoor and indoor use
Available in Small| Medium| and Large sizes",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/6178sILefuL._AC_SL1500_.jpg,4,181
10050,115,2005,Coverking Custom Fit Front 50/50 Bucket Seat Cover for Select Toyota Tacoma Models - Neosupreme (Charcoal with Black Sides),HGZ34Y6,10/29/2019,209.99,42,24,The exact seat configuration is Front With Side Airbag; 50/50 Bucket; Without Fold Forward Flat Passenger Backrest; With Removable Headrest; With Drivers Lumbar,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71fWjb+NxIL._AC_SL1500_.jpg,4.1,17
10051,115,2005,Coverking - SPC124 Custom Fit Seat Cover for Jeep Wrangler TJ 2-Door - (Neoprene| Black/Charcoal),HGZ3HR6,12/5/2019,169.99,210,55,This seat cover fits 1997 - 2001 Jeep Wrangler TJ 2-Door and the configuration of the seat is Front 50/50 Bucket| Two Pull Strap,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41ytg1ZgfDL._AC_.jpg,4.1,39
